"mgi_id","ensembl_gene_id_version"
"MGI:2139054","ENSMUSG00000000194.14"
"MGI:96785","ENSMUSG00000000247.12"
"MGI:1891703","ENSMUSG00000000544.15"
"MGI:99255","ENSMUSG00000000817.11"
"MGI:94864","ENSMUSG00000000889.9"
"MGI:2151055","ENSMUSG00000001138.14"
"MGI:2443010","ENSMUSG00000001143.14"
"MGI:1914473","ENSMUSG00000001305.6"
"MGI:1914192","ENSMUSG00000001674.12"
"MGI:1095411","ENSMUSG00000001855.16"
"MGI:1919598","ENSMUSG00000001864.14"
"MGI:1338822","ENSMUSG00000002107.19"
"MGI:1929866","ENSMUSG00000002459.18"
"MGI:2139395","ENSMUSG00000002546.18"
"MGI:98904","ENSMUSG00000002550.17"
"MGI:107564","ENSMUSG00000002881.15"
"MGI:1101781","ENSMUSG00000003051.14"
"MGI:1927225","ENSMUSG00000003134.11"
"MGI:106580","ENSMUSG00000003135.16"
"MGI:2386797","ENSMUSG00000003418.12"
"MGI:1891700","ENSMUSG00000003458.13"
"MGI:1334458","ENSMUSG00000003464.14"
"MGI:1920249","ENSMUSG00000003721.15"
"MGI:2443333","ENSMUSG00000004031.14"
"MGI:1347002","ENSMUSG00000004105.9"
"MGI:106217","ENSMUSG00000004110.18"
"MGI:88296","ENSMUSG00000004113.19"
"MGI:1347360","ENSMUSG00000004364.15"
"MGI:1927244","ENSMUSG00000004451.15"
"MGI:107361","ENSMUSG00000004552.17"
"MGI:96885","ENSMUSG00000004707.15"
"MGI:109294","ENSMUSG00000004709.15"
"MGI:99833","ENSMUSG00000004768.15"
"MGI:97487","ENSMUSG00000004872.16"
"MGI:2138281","ENSMUSG00000004880.12"
"MGI:2137858","ENSMUSG00000005338.15"
"MGI:95494","ENSMUSG00000005339.11"
"MGI:2443184","ENSMUSG00000005501.15"
"MGI:3589112","ENSMUSG00000005674.10"
"MGI:1346307","ENSMUSG00000005677.15"
"MGI:88050","ENSMUSG00000005681.13"
"MGI:88334","ENSMUSG00000005763.16"
"MGI:1276533","ENSMUSG00000005886.15"
"MGI:1922066","ENSMUSG00000006005.19"
"MGI:98090","ENSMUSG00000006007.15"
"MGI:2385108","ENSMUSG00000006010.15"
"MGI:1891344","ENSMUSG00000006014.17"
"MGI:107809","ENSMUSG00000006299.14"
"MGI:1916910","ENSMUSG00000006301.18"
"MGI:1923959","ENSMUSG00000006304.15"
"MGI:1339949","ENSMUSG00000006403.14"
"MGI:1918990","ENSMUSG00000006411.13"
"MGI:1276111","ENSMUSG00000006412.11"
"MGI:2159410","ENSMUSG00000006469.14"
"MGI:1926047","ENSMUSG00000006471.19"
"MGI:1861755","ENSMUSG00000006476.20"
"MGI:96533","ENSMUSG00000006538.13"
"MGI:1891343","ENSMUSG00000006542.14"
"MGI:104336","ENSMUSG00000006546.4"
"MGI:109350","ENSMUSG00000006576.17"
"MGI:88106","ENSMUSG00000007097.15"
"MGI:1351335","ENSMUSG00000007107.7"
"MGI:1309468","ENSMUSG00000007122.12"
"MGI:2652847","ENSMUSG00000007476.19"
"MGI:104685","ENSMUSG00000007805.5"
"MGI:1338762","ENSMUSG00000008136.15"
"MGI:1915021","ENSMUSG00000008475.14"
"MGI:1914716","ENSMUSG00000009030.15"
"MGI:1913389","ENSMUSG00000009214.10"
"MGI:1926106","ENSMUSG00000009216.8"
"MGI:2183683","ENSMUSG00000009418.17"
"MGI:1917980","ENSMUSG00000009551.3"
"MGI:1328368","ENSMUSG00000009555.17"
"MGI:1353596","ENSMUSG00000009563.17"
"MGI:95576","ENSMUSG00000009566.13"
"MGI:2183102","ENSMUSG00000009614.17"
"MGI:102718","ENSMUSG00000009621.19"
"MGI:1316737","ENSMUSG00000009633.4"
"MGI:1921387","ENSMUSG00000009772.16"
"MGI:1918000","ENSMUSG00000009905.6"
"MGI:1100499","ENSMUSG00000009907.18"
"MGI:97772","ENSMUSG00000010175.14"
"MGI:2138299","ENSMUSG00000010290.8"
"MGI:2151113","ENSMUSG00000010311.16"
"MGI:1918055","ENSMUSG00000010453.13"
"MGI:109284","ENSMUSG00000010609.16"
"MGI:1915643","ENSMUSG00000012187.14"
"MGI:2444823","ENSMUSG00000013275.10"
"MGI:1931035","ENSMUSG00000013465.20"
"MGI:2385112","ENSMUSG00000013593.13"
"MGI:104799","ENSMUSG00000013698.13"
"MGI:1333874","ENSMUSG00000013973.13"
"MGI:1350916","ENSMUSG00000013997.11"
"MGI:1270839","ENSMUSG00000014226.11"
"MGI:108391","ENSMUSG00000014602.16"
"MGI:2685556","ENSMUSG00000014852.17"
"MGI:98445","ENSMUSG00000014867.10"
"MGI:98444","ENSMUSG00000014873.16"
"MGI:1913887","ENSMUSG00000014980.15"
"MGI:88237","ENSMUSG00000015083.12"
"MGI:1096863","ENSMUSG00000015085.9"
"MGI:2442633","ENSMUSG00000015087.15"
"MGI:99261","ENSMUSG00000015090.14"
"MGI:1891227","ENSMUSG00000015092.10"
"MGI:1916704","ENSMUSG00000015093.16"
"MGI:1099802","ENSMUSG00000015094.17"
"MGI:1354731","ENSMUSG00000015095.13"
"MGI:97175","ENSMUSG00000015222.19"
"MGI:1353620","ENSMUSG00000015314.11"
"MGI:1351314","ENSMUSG00000015316.12"
"MGI:1913470","ENSMUSG00000015335.17"
"MGI:1261433","ENSMUSG00000015337.6"
"MGI:88339","ENSMUSG00000015355.14"
"MGI:3618859","ENSMUSG00000015484.4"
"MGI:1924317","ENSMUSG00000015488.15"
"MGI:95663","ENSMUSG00000015619.11"
"MGI:98446","ENSMUSG00000015776.13"
"MGI:2135738","ENSMUSG00000015787.16"
"MGI:98443","ENSMUSG00000015790.17"
"MGI:99516","ENSMUSG00000015829.14"
"MGI:98216","ENSMUSG00000015843.11"
"MGI:98214","ENSMUSG00000015846.16"
"MGI:87948","ENSMUSG00000015961.9"
"MGI:1916678","ENSMUSG00000015962.6"
"MGI:2388073","ENSMUSG00000016179.12"
"MGI:103562","ENSMUSG00000016194.15"
"MGI:2444490","ENSMUSG00000016200.15"
"MGI:2443496","ENSMUSG00000016262.15"
"MGI:88513","ENSMUSG00000016481.16"
"MGI:1203290","ENSMUSG00000016493.14"
"MGI:88329","ENSMUSG00000016494.10"
"MGI:1890472","ENSMUSG00000016524.13"
"MGI:1330300","ENSMUSG00000016526.9"
"MGI:109298","ENSMUSG00000016528.11"
"MGI:96537","ENSMUSG00000016529.6"
"MGI:2138563","ENSMUSG00000016918.16"
"MGI:1921444","ENSMUSG00000017144.9"
"MGI:103301","ENSMUSG00000017412.16"
"MGI:1923119","ENSMUSG00000017418.15"
"MGI:1914848","ENSMUSG00000018189.13"
"MGI:1916617","ENSMUSG00000018196.19"
"MGI:106652","ENSMUSG00000018199.10"
"MGI:107752","ENSMUSG00000018417.15"
"MGI:1316721","ENSMUSG00000019230.15"
"MGI:1345147","ENSMUSG00000019699.17"
"MGI:1921662","ENSMUSG00000019715.15"
"MGI:108384","ENSMUSG00000020423.7"
"MGI:3710571","ENSMUSG00000022591.6"
"MGI:108360","ENSMUSG00000022995.17"
"MGI:1923717","ENSMUSG00000023094.15"
"MGI:2152389","ENSMUSG00000023150.15"
"MGI:104644","ENSMUSG00000023206.17"
"MGI:1924954","ENSMUSG00000023210.3"
"MGI:3702045","ENSMUSG00000025201.8"
"MGI:2183924","ENSMUSG00000025716.15"
"MGI:1925331","ENSMUSG00000025774.15"
"MGI:1934666","ENSMUSG00000025776.14"
"MGI:1338002","ENSMUSG00000025777.9"
"MGI:1341909","ENSMUSG00000025779.11"
"MGI:1925751","ENSMUSG00000025780.8"
"MGI:1261437","ENSMUSG00000025781.15"
"MGI:2388097","ENSMUSG00000025782.13"
"MGI:1921185","ENSMUSG00000025783.3"
"MGI:2445096","ENSMUSG00000025815.14"
"MGI:1931071","ENSMUSG00000025816.16"
"MGI:1858232","ENSMUSG00000025817.13"
"MGI:1341105","ENSMUSG00000025900.14"
"MGI:107543","ENSMUSG00000025902.14"
"MGI:1344588","ENSMUSG00000025903.15"
"MGI:97439","ENSMUSG00000025905.15"
"MGI:1341850","ENSMUSG00000025907.15"
"MGI:1918346","ENSMUSG00000025909.17"
"MGI:1923437","ENSMUSG00000025911.15"
"MGI:99925","ENSMUSG00000025912.17"
"MGI:2182368","ENSMUSG00000025915.15"
"MGI:1921138","ENSMUSG00000025916.11"
"MGI:1349415","ENSMUSG00000025917.10"
"MGI:1352508","ENSMUSG00000025920.20"
"MGI:1924238","ENSMUSG00000025921.8"
"MGI:109634","ENSMUSG00000025925.15"
"MGI:104672","ENSMUSG00000025927.14"
"MGI:107364","ENSMUSG00000025929.5"
"MGI:1333884","ENSMUSG00000025930.7"
"MGI:1921479","ENSMUSG00000025931.16"
"MGI:109344","ENSMUSG00000025932.15"
"MGI:1922962","ENSMUSG00000025933.16"
"MGI:95856","ENSMUSG00000025934.16"
"MGI:1919515","ENSMUSG00000025935.11"
"MGI:2442551","ENSMUSG00000025937.7"
"MGI:2443431","ENSMUSG00000025938.17"
"MGI:1914049","ENSMUSG00000025939.20"
"MGI:1915068","ENSMUSG00000025940.7"
"MGI:88526","ENSMUSG00000025945.12"
"MGI:2180917","ENSMUSG00000025946.14"
"MGI:1335106","ENSMUSG00000025949.17"
"MGI:96413","ENSMUSG00000025950.17"
"MGI:88523","ENSMUSG00000025952.16"
"MGI:1918111","ENSMUSG00000025955.14"
"MGI:1914349","ENSMUSG00000025956.11"
"MGI:88494","ENSMUSG00000025958.15"
"MGI:1935151","ENSMUSG00000025959.14"
"MGI:1921676","ENSMUSG00000025961.2"
"MGI:1922869","ENSMUSG00000025962.16"
"MGI:1923918","ENSMUSG00000025963.6"
"MGI:1345162","ENSMUSG00000025964.16"
"MGI:1929520","ENSMUSG00000025967.17"
"MGI:2443241","ENSMUSG00000025968.17"
"MGI:1100492","ENSMUSG00000025969.16"
"MGI:1915365","ENSMUSG00000025971.7"
"MGI:1922638","ENSMUSG00000025977.16"
"MGI:1921263","ENSMUSG00000025978.15"
"MGI:104899","ENSMUSG00000025979.14"
"MGI:96242","ENSMUSG00000025980.15"
"MGI:1915126","ENSMUSG00000025981.14"
"MGI:1932339","ENSMUSG00000025982.14"
"MGI:1925266","ENSMUSG00000025983.12"
"MGI:1914515","ENSMUSG00000025986.7"
"MGI:891996","ENSMUSG00000025991.9"
"MGI:1315204","ENSMUSG00000025993.11"
"MGI:1920924","ENSMUSG00000025995.17"
"MGI:1342541","ENSMUSG00000025997.14"
"MGI:1336997","ENSMUSG00000026000.17"
"MGI:87866","ENSMUSG00000026003.6"
"MGI:1915941","ENSMUSG00000026004.16"
"MGI:1913896","ENSMUSG00000026005.16"
"MGI:1858745","ENSMUSG00000026009.15"
"MGI:88556","ENSMUSG00000026011.14"
"MGI:88327","ENSMUSG00000026012.3"
"MGI:1924550","ENSMUSG00000026014.16"
"MGI:2182269","ENSMUSG00000026017.14"
"MGI:1917625","ENSMUSG00000026018.13"
"MGI:1927241","ENSMUSG00000026019.16"
"MGI:1933184","ENSMUSG00000026020.10"
"MGI:1197010","ENSMUSG00000026021.16"
"MGI:3583944","ENSMUSG00000026023.17"
"MGI:1921268","ENSMUSG00000026024.15"
"MGI:2144047","ENSMUSG00000026027.14"
"MGI:1918077","ENSMUSG00000026028.13"
"MGI:1261423","ENSMUSG00000026029.15"
"MGI:1336166","ENSMUSG00000026031.16"
"MGI:1913745","ENSMUSG00000026032.9"
"MGI:107403","ENSMUSG00000026034.18"
"MGI:1917475","ENSMUSG00000026035.16"
"MGI:1929485","ENSMUSG00000026036.18"
"MGI:1328306","ENSMUSG00000026037.15"
"MGI:1098767","ENSMUSG00000026039.10"
"MGI:88458","ENSMUSG00000026042.17"
"MGI:88453","ENSMUSG00000026043.19"
"MGI:1919300","ENSMUSG00000026047.14"
"MGI:103582","ENSMUSG00000026048.17"
"MGI:1922873","ENSMUSG00000026049.12"
"MGI:1926146","ENSMUSG00000026051.9"
"MGI:2159649","ENSMUSG00000026058.12"
"MGI:105075","ENSMUSG00000026062.13"
"MGI:1921958","ENSMUSG00000026063.5"
"MGI:1277096","ENSMUSG00000026064.17"
"MGI:105074","ENSMUSG00000026065.9"
"MGI:1338888","ENSMUSG00000026068.12"
"MGI:98427","ENSMUSG00000026069.16"
"MGI:105383","ENSMUSG00000026070.16"
"MGI:96545","ENSMUSG00000026072.13"
"MGI:96546","ENSMUSG00000026073.14"
"MGI:1349394","ENSMUSG00000026074.16"
"MGI:109232","ENSMUSG00000026077.16"
"MGI:1916083","ENSMUSG00000026078.11"
"MGI:1929074","ENSMUSG00000026082.12"
"MGI:2441772","ENSMUSG00000026083.13"
"MGI:1916791","ENSMUSG00000026085.12"
"MGI:1333820","ENSMUSG00000026087.12"
"MGI:1916278","ENSMUSG00000026088.16"
"MGI:1919347","ENSMUSG00000026090.17"
"MGI:2138162","ENSMUSG00000026094.15"
"MGI:1917646","ENSMUSG00000026095.16"
"MGI:1919335","ENSMUSG00000026096.15"
"MGI:2181669","ENSMUSG00000026097.10"
"MGI:1202302","ENSMUSG00000026098.14"
"MGI:95691","ENSMUSG00000026100.7"
"MGI:104848","ENSMUSG00000026102.10"
"MGI:95752","ENSMUSG00000026103.15"
"MGI:103063","ENSMUSG00000026104.15"
"MGI:1923258","ENSMUSG00000026107.12"
"MGI:1861735","ENSMUSG00000026109.15"
"MGI:2662992","ENSMUSG00000026110.16"
"MGI:1914637","ENSMUSG00000026111.16"
"MGI:1923428","ENSMUSG00000026112.8"
"MGI:1931123","ENSMUSG00000026113.18"
"MGI:1341818","ENSMUSG00000026114.15"
"MGI:1927110","ENSMUSG00000026116.12"
"MGI:99613","ENSMUSG00000026117.11"
"MGI:109252","ENSMUSG00000026121.14"
"MGI:2385825","ENSMUSG00000026123.12"
"MGI:109448","ENSMUSG00000026124.5"
"MGI:1270856","ENSMUSG00000026125.10"
"MGI:108410","ENSMUSG00000026126.16"
"MGI:106572","ENSMUSG00000026127.14"
"MGI:104627","ENSMUSG00000026131.21"
"MGI:97758","ENSMUSG00000026134.12"
"MGI:1924514","ENSMUSG00000026135.18"
"MGI:1095415","ENSMUSG00000026141.14"
